x,y,z,vx,vy,vz,E_tot,Lz,phase_chi,ParticleIDs,halo,level,PeakMassIndex_ID,AccretedFlag,BoundFirstTime
73.68508,22.04742,-20.84615,105.78732,-60.136875,-88.60377,-115434.41556711952,-6763.5279200394,-702.3614661400001,8796184466274,26,4,4664,0.0,4.0817823
72.74053,16.94492,-14.328536,124.04313,-68.03093,-84.11645,-115671.12865126783,-7050.5068189925005,-686.15280624,8796157958364,26,4,4664,0.0,4.250308
68.83312,29.782642,-12.062871,134.16684,-27.567635,-95.81935,-115621.66835524932,-5893.40929206248,-659.9745596999999,8796176714203,26,4,4664,0.0,4.250308
71.36046,17.108955,-21.252731,106.85217,-73.115234,-99.20526,-115410.38635587436,-7045.66569942999,-715.5995868899998,8796193977754,26,4,4664,0.0,4.0817823
69.566895,23.35749,-20.078928,115.2659,-47.16191,-108.6144,-115348.09932749096,-5973.22974756045,-691.7933795,7308837856582,26,4,4664,0.0,4.250308
70.81766,19.63995,-26.608871,107.90928,-61.789146,-93.79231,-115315.56565566808,-6495.09559685436,-709.0839234000001,8796182658532,26,4,4664,0.0,4.250308
69.506805,16.34607,-22.480505,114.52781,-72.832695,-100.38773,-115396.031470544,-6934.447528196175,-700.0489681799999,8796171809967,26,4,4664,0.0,4.0817823
70.97565,16.334442,-17.70036,128.19623,-63.636246,-90.4178,-115447.03812598728,-6610.63780696356,-663.1896257200001,8796138542793,26,4,4664,0.0,4.250308
73.17404,25.826336,-27.505308,99.42739,-45.825535,-88.3399,-115160.58326387084,-5921.084712854441,-673.6518402,8796189738693,26,4,4664,0.0,4.250308
63.54016,7.2282624,-18.756859,143.28468,-100.504326,-92.37491,-115659.76846753762,-7421.760219672192,-667.8791672,8796105518572,26,4,4664,0.0,6.3559184
70.23648,18.566954,-13.876709,123.17211,-56.371124,-109.799515,-115394.58710144465,-6246.24022385646,-690.5281901000001,8796184505800,26,4,4664,0.0,4.250308
70.61853,20.908175,-15.155318,133.28981,-59.227386,-86.748314,-115348.36665796416,-6969.397608259331,-664.7810732999999,8796102042271,26,4,4664,0.0,4.250308
59.76319,17.631256,-17.34493,152.35455,-66.45925,-123.17512,-115553.27449836032,-6658.0188588223,-663.5262720200001,8796183690215,26,4,4664,0.0,4.250308
72.72685,24.074276,-27.058756,99.963005,-54.68925,-91.03268,-115014.07736891252,-6383.913853521881,-689.21411596,8796179715849,26,4,4664,0.0,4.250308
64.22521,17.201452,-12.689795,154.34314,-78.920235,-94.25814,-115476.37734311278,-7723.59478036363,-677.7023328,8796158874936,26,4,4664,0.0,6.495249
70.257645,6.904984,-16.068596,131.55173,-90.73607,-80.80722,-115387.1805654169,-7283.26518557747,-648.1211475999997,8796160894459,26,4,4664,0.0,6.6778803
62.98162,16.943884,-15.052052,154.68562,-84.751495,-93.53572,-115570.2460722811,-7958.76165426998,-683.3425930599999,8796181436477,26,4,4664,0.0,6.3559184
60.121178,26.554453,-8.030065,171.90767,-28.756777,-107.61903,-115519.28257680124,-6293.805452077816,-629.564619528,8796188654541,26,4,4664,0.0,6.3559184
67.588356,20.786852,-25.856462,122.298965,-58.049587,-100.64503,-115014.08827267868,-6465.686637017152,-675.6231345799998,8796151671614,26,4,4664,0.0,6.6778803
57.577625,10.735182,-16.275385,150.50194,-108.59669,-122.61715,-115075.75975157892,-7868.405210314329,-719.0964538000002,8796164260889,26,4,4664,0.0,6.8125005
-57.63392,-41.03969,-10.097469,45.7383,163.61923,98.04015,-114954.13223764733,-7552.931959154599,-294.5703472600001,8796185436107,26,4,4664,0.0,4.250308
-57.088463,-37.559937,-9.524078,46.15651,160.2665,117.7568,-114941.56080806494,-7415.732547649631,-324.72449345,8796137082341,26,4,4664,0.0,4.250308
59.69353,22.68551,-7.5691314,179.40665,-40.729595,-108.262,-114980.56669145674,-6501.22465366185,-635.487985356,8796146614400,26,4,4664,0.0,4.250308
-57.882015,-44.31076,-9.121746,40.47191,160.45807,94.63663,-114825.40026753503,-7494.29532385945,-286.8025790250001,8796160460336,26,4,4664,0.0,6.0229464
26.090595,28.226198,5.7152624,293.96912,46.363712,-109.27594,-114000.02581656152,-7087.973754517118,-613.5811691399999,8796165769627,26,4,4664,0.0,4.0817823
28.80802,26.016634,4.214959,287.37067,41.881485,-124.79933,-113962.89323474848,-6269.894886215081,-595.6360634999999,8796179984898,26,4,4664,0.0,4.250308
-52.781944,-46.65481,-18.01525,10.90726,156.04668,112.64076,-114601.4222634462,-7727.570982225322,-300.90921920399995,8796177556050,26,4,4664,0.0,2.294945
41.487583,26.077293,1.4166055,241.29721,-0.9869067,-128.20123,-114309.78354393425,-6333.322418882037,-636.9383016,8796187464220,26,4,4664,0.0,4.250308
-54.246227,-49.75643,-15.972309,19.271864,156.4426,96.43105,-114591.7803795515,-7527.521639984679,-282.11216143999997,8796176703445,26,4,4664,0.0,2.294945
26.522734,28.016474,8.341287,297.84793,40.1372,-91.8283,-113917.83954499254,-7280.10050769402,-617.3342198299999,8796166030869,26,4,4664,0.0,4.250308
13.688527,22.728031,8.365095,345.76028,79.11446,-119.6064,-113701.42003613498,-6775.489940608261,-594.3970050000001,8796148197224,26,4,4664,0.0,4.0817823
11.448578,22.940996,8.89629,340.61465,136.06982,-93.573395,-113645.14201935953,-6256.23337547544,-564.2227525,8796163121466,26,4,4664,0.0,4.250308
35.282433,29.048437,0.8229477,264.78662,16.595825,-111.25925,-114012.50187549125,-7106.096365870716,-602.3552724670001,8796115847179,26,4,4664,0.0,4.250308
45.882217,22.289364,-0.8116076,232.13016,-59.47441,-114.24057,-114344.90776980072,-7902.851417185209,-668.3003091100001,8796181454639,26,4,4664,0.0,4.250308
32.704155,24.995913,2.1270983,288.7668,-10.822676,-102.2906,-113920.05902679951,-7571.936283507181,-616.5146201200001,8796127247104,26,4,4664,0.0,4.250308
25.44723,25.385286,4.882558,313.28735,1.06306,-102.88091,-113759.54229549288,-7925.8370476083,-623.2320970000001,8796160404424,26,4,4664,0.0,4.250308
36.064827,25.985813,2.2286732,266.86423,-12.734979,-120.46999,-113780.26228288826,-7393.968791652624,-630.0315723,8796128199112,26,4,4664,0.0,4.4169116
20.023272,22.206495,6.7369113,340.13153,7.0498223,-114.287224,-113464.08636788568,-7411.968610822784,-589.3887691299999,8796147570302,26,4,4664,0.0,6.495249
26.079817,29.904873,4.0944424,282.87518,69.54087,-118.23081,-113462.3377531773,-6645.73316913135,-585.2335636173,8796189005762,26,4,4664,0.0,4.250308
45.804832,24.312544,6.8492007,246.23563,-10.626852,-87.48693,-113965.68080712415,-6473.375759291584,-624.5734814,8796135053669,26,4,4664,0.0,6.6778803
20.575201,27.08086,10.790741,315.28424,51.43859,-94.39413,-113422.7238439887,-7479.80903523981,-621.4021475999998,8796140275357,26,4,4664,0.0,4.4169116
47.004772,21.430887,-2.441847,222.13452,-43.246403,-135.68742,-114100.29385283738,-6793.327109754357,-658.6180376000002,8796193466981,26,4,4664,0.0,4.581578
48.381294,22.950874,-3.2355537,223.57805,-33.398067,-121.549,-114151.71263893048,-6747.153353274398,-632.7625452400001,8796178493287,26,4,4664,0.0,4.250308
13.248845,21.36498,11.079472,349.95224,104.21465,-92.44994,-113206.79251917815,-6095.99886397595,-566.0863396099999,8796189117716,26,4,4664,0.0,4.250308
51.943825,15.29277,-8.812212,215.11972,-73.33704,-105.042,-113948.45143358,-7099.1827722024,-608.9127046599999,8796167889260,26,4,4664,0.0,6.6778803
13.770757,20.39385,3.5914812,365.1597,78.08619,-127.568306,-113245.63386574214,-6371.70620029917,-548.6866049,8796167556978,26,4,4664,0.0,6.3559184
26.252596,23.973173,3.3712385,308.28564,25.958479,-125.06672,-113327.24854311928,-6709.107519174236,-591.5395073599998,8796169817205,26,4,4664,0.0,6.495249
-3.7752082,20.155672,13.111573,343.57825,190.50456,-50.98808,-113384.94722202874,-7644.244890383392,-583.8095399000001,8796185132297,26,4,4664,0.0,4.250308
